text,rating
Czytając po oglądnięciu serialu jestem tak samo zachwycony. Nie wiedziałem że serial był taką dokładną adaptacją. ,9
"W końcu i ja zawitałam do Westeros i co też moje oczy odkryły. Bohaterowie, świat, historia wszystko zostało tak wspaniale wykreowane. Nic nie jest płaskie, cała przygoda jest naprawdę zawiła i skomplikowana a świat wielki. Postacie mogą uchodzić za prawdziwe osoby tak bardzo wyróżniają się na tle wszystkich i zachowują jakby naprawdę żyły. Zakochałam się. ",10
"""Gra o tron"" to pierwsza część sagi zatytułowanej ""Pieśń lodu i ognia"", która opowiada historię kilku rodów walczących o władze w krainie Westeros. Jest to powieść z gatunku fantastyki, chociaż w tomie pierwszym wątków fantastycznych wcale nie ma dużo. Dopiero w kolejnych częściach sagi stają się one wyraźniejsze. Książka jest naprawdę gruba, ale czyta się ekspresowo. Mamy wartką akcję, ciekawych bohaterów i sporo zwrotów akcji, które są ogromnie zaskakujące. Książka jest mroczna, brutalna oraz wulgarna i nie są to wady. Autor tworzy w ten sposób naprawdę unikalny klimat. Niektórych może zniechęcać ilość postaci, których jest tu mnóstwo, ale są oni tak wyraziści, że nie ma problemu z zapamiętaniem albo odróżnieniem ich od siebie. ""Grę o tron"" bardzo gorąco polecam. Uważam, że jest świetna. Zaznaczam jednak, że nie jest to powieść dla dzieci! ",10
"Bardzo trudna bariera wejścia, ale warto to mało powiedziane. Nie oglądałem wcześniej serialu więc dla mnie była to potężna, piękna przygoda. ",9
"Całe tłumaczenie pełne jest niepojętych dyletanckich wybryków kogoś, kto nie szczędził nawet kilku sekund na googlowanie definicji słów, a jedynie tłumaczył albo dosłownie, albo wedle własnego widzi mi się. Wśród takich drobnostek jak głowice mieczy, które nazywane są ""gałkami"", jednak niedopuszczalnym i śmiechu godnym jest ten fragment: ""uniósł przyłbicę swojego płaskiego hełmu"". Przepraszam bardzo, co? Uniósł hełm hełmu? A może by tak wiedzieć o czym się pisze, a nie bazować na ludowej wiedzy źle zapamiętanych idiomów? Pan Paweł Kruk rzeczywiście jest skończonym imbecylem. ",8
"Bardzo długo zbierałem się do tego aby rozpocząć serię GoT, i nie żałuję. Mimo, że nie jestem fanem powieści fantasy, to Gra o Tron zrobiła na mnie ogromne wrażenie. Doskonałe opisy postaci, zwroty akcji i ciekawa historia powodują, że lektura jest bardzo przyjemna. Moja opinia to 8/10, gdyż uważam, że niektóre rozdziały były nudne lub znajdowało się w nich zbyt dużo niepotrzebnych informacji. ",8
" Dotychczas moje zetknięcie ze światem Westeros było dzięki oglądaniu serialu.  Świat wykreowany przez Pana Martina zachwyca, wprowadza nas do brutalnego świata, gdzie nie oszczędzą wam drastycznych scen. To również świetna opowieść fantasy, gdzie do czynienia mamy z magicznymi stworzeniami, jak chociażby Inni, wilkory, ale także smoki. To również niesamowite dzieło wojenne, gdzie szczegółowo opisane są wydarzenia z pola bitwy, które ja po prostu uwielbiam. To książka po którą warto sięgać i delektować się tym co nam przedstawia autor. ",9
"Mój reread wiele lat po obejrzeniu serialu i przeczytaniu tej książki tylko utwierdził mnie w przekonaniu, że ta książka to 10/10. Wspaniała, absolutnie uwielbiam! Ciężko się oderwać, jedna z lepszych fantastycznych historii jakie miałam okazję poznać. ",10
"Moje pierwsze podejście do tej książki skończyło się porażką po niecałych 600 stronach. Odłożyłem ją na półkę i tak sobie leżała, dopóki w styczniu z ciekawości nie włączyłem serialu. Po jego obejrzeniu wróciłem do książki i w końcu poczułem klimat. Jeszcze bardziej polubiłem postaci, które lubiłem wcześniej, a nawet zapałałem sympatią do kolejnych. Książka ma oczywiście swoje minusy, m.in. brak portretów psychologicznych, przez co sami musimy sobie wydedukować kto ma jaki charakter. Innym minusem są nadmierne epitety i tandetne metafory. Od czasu do czasu pojawiają się durne zdania. Nie wiem czy to wina autora czy tłumaczenia, bo nie widziałem oryginału. Natomiast warto przytoczyć zalety, jakimi jest na pewno sporo momentów humorystycznych czy zawiłość spisków. Wadą i jednocześnie zaletą jest mnogość postaci. Z jednej strony ciężko wszystkich spamiętać, przez co stworzyłem sobie ściągę. Z drugiej jednak z tak dużego repertuaru bohaterów można wybrać kogoś do polubienia. Mamy tu niespodziewane wydarzenia, co również warto pochwalić. Warto też postawić plusa za ilustracje, więc niniejszym to czynię. ",6
"Świetny wstęp do tego uniwersum. Widać to jak dobrze Martin zaplanował tą książkę, koligacje między rodami i konstrukcję świata. Jedną gwiazdkę odejmuje za rozdziały Deanerys, które nieco mnie nudziły. ",9
" Nie mogę dać niższej oceny, bo to jest bardzo dobra książka, ale chyba nie sięgnę po kolejne tomy. Z jednej strony ciekawi mnie wymyślone uniwersum, a z drugiej irytują niemal wszyscy bohaterowie. Doczytałam książkę po kilku latach od pierwszej próby, w międzyczasie miałam równie nieudane podejście do serialu... Po prostu nie moja bajka. ",7
Wciąga niesamowicie - więcej nie trzeba pisać :D ,10
Ciekawa fabuła. Historyczna książka. Zaczęłam oglądać serial ale niestety nie obejrzałam go do końca. Zabrałam się zaczytanie ksiazki i nie żałuję spędzonych z tą książką czasu. Mimo swojej oporoności. Lekko się ją czytało i przyjemnie. Na pewno zajrzę do kolejnych części gry o tron. Polecam wam tą książkę jeśli nie czytaliście jeszcze. Nie będziecie żałować godzin spędzonych z tą książką. ,8
"Idzie zima. Śnieg zaczyna już pokrywać kwiat a słońce, które tak długo królowało nad niebem znajduje się u kresu wędrówki. Mroki pokrywają świat, chłód nie tylko mrozi ludzkie ciała, lecz przenika ludzkie serca, które stają się zimne jak lód. Lecz w dali, gdzie wzrok nie siega rodzi się ogień, który żarzy się tak mocno, że rozpala nocne niebo. Wydaje się, że już się ze sobą stykają słychać cichy syk, gdy para bucha jak obłoki w zetknięciu się lodu i ognia. Gra o tron jest książką, która literacko stoi na bardzo wysokim poziomie i mówię tu wyłącznie o stylu autora. Książkę czyta się niezwykle lekko mimo swej opasłej objętości. Jednakże podczas lektury odniosłem wrażenie, że bazuje ona na bardzo utartym schemacie treści przedstawionej w formie cyklicznej, ze wciąż zmieniającym się punktem widzenia zależnym od historii danego bohatera. Jest to rozwiązanie stałe tworzące się poprzez zastosowanie pewnej sinusoidy wydarzeń, w oczekiwaniu na moment kulminacji i działa to bardzo dobrze.  Co do estetyki dzieła, autor posługuje się bardzo wyrachowanymi opisami scen erotyki, które licują z wykreowanym światem jednakże osobiście uważam, iż mogły być subtelniejsze, bowiem odebrałem je jako formę wywołania emocji w czytelniku w sposob bardzo prosty, by nie rzec prostacki, co dało się zauważyć regularnie co około 100 stron, a co przyjąłem z niesmakiem. Jednakże co do kreacji samego świata jest on niezwykle autentyczny i głęboko wżera się w umysł czytelnika. Fenomenem tej książki jest to, że gdy w zwykłym dziele (zwykłym mam na myśli powszednią powieść) mamy do czynienia z jednym punktem kulminacyjnym i wielkim zakończeniem, tak w tym dziele dzięki zastosowaniu wielu perspektyw z punktu widzenia różnych bohaterów, których losy śledzimy i wszyscy oni zdają się być nam głównymi bohaterami owej walki o tron, na koniec powieści otrzymujemy szereg satysfakcjonujących zakończeń, które są niepowtarzalnym zjawiskiem właśnie pod tym względem, że to co zwykle otrzymujemy w formie jednostkowej tutaj znajduje się w formie zwielokrotnionej do kwadratu i samo zakończenie właśnie, które rozciąga się na kilka rozdziałów, uważam za najlepszą część owej powieści i wielką rekompensatę oczekiwania na ten moment przez całą lekturę. I tak, gdy z początku książka wydawała mi się być rzeczywiście serialową w tym sensie, że bazowała na pewnych schematach już utartych w społeczeństwie choćby za sposobem mediów (mam na myśli lata 90) ostatecznie znalazła uznanie we mnie samą historią i genialnymi zakończeniami. Jednakże poza dobrą zabawą przez co rozumiem miłą lekturę raczej nie należy oczekiwać od tej książki głębi treści, bowiem nie porusza zagadnień wyjątkowo wysublimowanych a raczej bazuje ona na zimnym rachunku zysków i strat i mistycyzmie legend i fatum. ",7
"Już dawno oglądałam serial i byłam nim zachwycona. Nie mogłam się zabrać za książki, bo jakoś nie szło to z moim czasem, aż w końcu natrafiłam na pierwszy tom w bibliotece i wzięłam, a co tam, że ponad 800 stron, dam radę. I dałam, nawet bardzo szybko ją skończyłam, nie spodziewałam się, że tak mnie wciągnie i chociaż wiedziałam co mnie tam spotka, w końcu obejrzałam serial to i tak świetnie przy niej się bawiłam i wciągnęła mnie w swój świat mroczny, piękny, zdradliwy.  Owszem miałam czasem problem by zapamiętać te wszystkie imiona, nazwiska i kto jest kim, bo jest za dużo tych bohaterów pobocznych oprócz głównych oczywiście. Musiałam sobie wszystko notować, a nawet zdarzało mi się sprawdzać na google o kim pisze Martin i jaki był odpowiednik w serialu. To bardzo pomagało.  Niektórzy mówią, że z Grą o tron jest jak ze Stephenem Kingiem, albo się kocha, albo się nienawidzi. I może coś w tym jest, bo albo wejdziesz w tą historię i Cię porwie, albo po prostu przeczytasz, obejrzysz i nie wywrze na Tobie żadnego wrażenia. Na mnie wywarł i serial i książka, a szczerze zdradzę Wam, że książka jeszcze bardziej.  Ocena: Moja ocena to 9/10 - bez skrupułów mogę dać mocną 9, bo zasługuje i pomysł i realizacja i świetna historia i emocje, które pobudzają się w trakcie czytania. Polecam Wam mam nadzieję, że Was porwie tak samo jak mnie! ",9
"Wydaje mi się, że każdy w mniejszym lub większym stopniu miał styczność z Grą o Tron. Albo w wersji książkowej albo serialowej. Według mnie albo się to lubi i zna albo się kojarzy ale nie ciągnie do tego kompletnie. Ja zawsze chciałam poznać książki ale było mi nie po drodze. Próbowałam kilka razy czytać ale rezygnowałam w trakcie bo to nie było to, a serialu nie chciałam oglądać bo przecież najpierw książka 😂 Uratował mnie audiobook na @legimibooks bo jest tak genialnie zrobiony (mam na myśli pierwszą część), że tego się chce słuchać 🔥 Czytane jest z podziałem na rolę, dodatkowo w tle mamy masę odgłosów. No czuć klimat przez co w tą historię się wnika 😍 I mimo, że czasem ciężko ogarnąć przez masę bohaterów to jednak to było świetne. Nie jest to książka, która jest dla mnie wybitnie genialna, bo jeszcze nie wsiąkłam w ten świat aż tak bym myślała o niej ciągle ale chce się przekonać co dalej i jak potoczą się dalsze losy bohaterów. ",9
"Od tego wszystko się zaczęło, zakochanie ",10
"Książka jest czysto rozrywkowa i z myślą o tym napisana - nudzić się nie będziecie, dużo się dzieje. Jest bardzo dużo postaci - połapać się nie można miejscami od tych wszystkich nazwisk. Jednocześnie wszyscy ci bohaterowie są tacy... płytcy, są takimi awatarami aniżeli ludźmi, dużo robią, a nie wiemy dlaczego, nie wiemy co myślą. Jakoś tak żadnej głębi nie ma w tych bohaterach, w zasadzie są chyba tylko dwie takie sceny w książce, że bohater mówi, co nim kieruje, dlaczego coś robi, dlaczego jest taki a taki. Nie uświadczysz w tej książce prawie żadnych rysów psychologicznych ani żadnych uniwersalnych prawd o ludzkiej naturze. Mamy tutaj twardą pesymistyczną narrację - dobrzy umierają, źli żyją. Mnóstwo okrucieństwa i oczywiście seksu. I największa wada książki (i jak się domyślam, całej serii) - tego seksu jest od cholery. Książka ta ma NAJWYŻSZY wśród przeczytanych przeze mnie książek współczynnik ilości seksu na stronę książki. Jednocześnie ten seks jest taki pusty, autor opisuje raczej co bohaterowie fizycznie robią, jak wyglądają, niż co czują, ani dlaczego to robią. Pod tym względem Sapkowski w ""Wiedźminach"" jest o wiele bardziej dojrzały i łagodny (!). W wielu opiniach widzę, że super bohaterowie. I faktycznie jest kilku ciekawych bohaterów, ale jest ich tak dużo, że nie ma co liczyć na jakieś ich ciekawe rozwinięcia w pierwszym tomie, może w następnych dopiero zachodzą jakieś ciekawe interakcje. Z tego co wiem całość działa tak, że: mamy bohaterów -> bohaterowie ci są jakoś krzywdzeni, coś tracą -> współczujemy im -> chcemy zemsty, sprawiedliwości i jej wyczekujemy -> czytamy dalej, jesteśmy ""wciągnięci"". Przyznam, że pod koniec nawet zapragnąłem sięgnąć po drugi tom - interesujących cliffhangerów jest co najmniej kilka. Jednak z troski o siebie odmówię sobie tej przyjemności. Podsumowując, Wiedźmin lepszy! A tak poważnie to książka to w zasadzie nic specjalnego poza tym, że mamy tutaj kawał solidnej roboty włożony w to, by wciągnąć czytelnika. Mamy epickie i ciekawe zobrazowanie świata wyobrażonego oraz bohaterów, którym możemy współczuć i kibicować. I nic więcej. Ale naprawdę, teraz jeszcze bardziej doceniam Sapkowskiego - Wiedźminy to o wiele lepsze książki niż Gra o Tron. ",5
"Mimo, że historię pamietam bardzo dobrze z serialu to i tak czytanie sprawiło mi ogromną przyjemność. Najbardziej lubię wracać do samego początku tej opowieści, kiedy wszyscy bohaterowie żyją i czują się bezpiecznie. Wydarzenia z końca tego tomu ponownie złamały mi serce, ale w ten dobry sposób, bo jest to po prostu dobra książka. Nie wiem czemu wcześniej bałam się języka i zawiłości tej historii. Jest bardzo przystępna. ",10
Początek przepięknej przygody :) ,9
Majstersztyk! Moja ulubiona postać to oczywiście Tyrion. ,9
"Ugh... czy tylko mnie tak męczy ta książka? Przebrnęłam przez raptem 80 stron i stwierdziłam: Nie, nie chce mi się myśleć, kto był kim, z czyjego rodu, z jakiej wioski i spod jakiego herbu.  Czy ten Martin to litości nie ma dla czytelników? Uwielbiam średniowieczne klimaty, zamki, stroje, mężnych rycerzy i damy dworu. Kena Folleta uwielbiam za opasłe tomiska ""Filary ziemi"" i kolejne. Ale tam faktycznie czułam, że czytanie to przyjemność. Tutaj byłam tylko wkurzona, że nie wiem, o czym przeczytałam. Dawniej miałam tak, że choćbym się męczyła i zmarnowała długie godziny, to doczytam do końca. Teraz stwierdzam, że po co marnować czas, jeśli coś nie pykło. Jest tyle książek, że starczy do końca życia i jeszcze sporo zostanie. No i dam szansę serialowi, a nuż... ",4
"Uważam George R. R. Martina za kompletnego idiotę a dodatkowo za odrażającą istotę ludzką, ale muszę przyznać, że ta rzecz jest sakramencko dobrze przemyślana i porządnie napisana. Zobaczymy, jak będzie w kolejnych częściach. ",9
"Niesamowicie ważną książką jest dla mnie Gra o Tron. Gdyby nie ona, to pewnie nigdy nie zacząłbym regularnie czytać książek. Martin jest jednym z najważniejszych autorów w historii fantasy. Z tym nie ma się co kłócić. Jego wpływ na gatunek jest ogromny, a jego rozpoczęcie Sagi Pieśni Lodu i Ognia, to jedno z najlepszych rozpoczęć serii fantasy jakie czytałem. Fenomenalni bohaterowie - odrobinę zgnici, źli, nieprzyjemni, ale jednocześnie z bardzo ludzkimi motywacjami. Martin ma dar do pisania niejednoznacznych postaci i przez te wiele lat w mojej opinii jedynie Joe Abercrombiemu udało się go przebić. Świetny świat przedstawiony, z jednej strony bardzo znajomy, z drugiej przez to zerwanie z klasycznym heroicznym fantasy wydaje się świeży i unikalny. Jedna z najlepszych postaci w historii gatunku w postaci Tyriona, zaskakująco dużo humoru i oczywiście zwroty akcji, z których Martin jest znany. Saga Pieśni Lodu i Ognia - nawet jeśli niedokończona - to jedna z najlepszych serii w historii gatunku. Jeśli szukacie literatury na wysokim poziomie, polecam gorąco! A jeśli szukacie innych świetnych serii fantasy to zapraszam na mój film w moim top 10 serii fantasy! ",9
"To chyba będzie odosobniony pogląd, ale… nie porwała mnie ubóstwiana przez wielu saga. I nie jest to kwestia obszerności pierwszego tomu cyklu „Pieśni Lodu i Ognia” (wydanie z 2011 roku liczyło blisko 850 stron), bo czytałem książki o porównywalnej „gramaturze”. Ale ta niezliczona ilość postaci, wątków, wzajemnych powiązań, zawiłe intrygi polityczne… na koniec lektury byłem w stanie powiedzieć tylko jedno słowo: „Hodor” :-) Ale na poważnie: zabrakło mi lekkości opowiadania, błyskotliwych dialogów, które miałem w pamięci z innych powieści fantasy. A przynajmniej takich, na które czekałem. Niektórzy twierdzą, że lekturę warto poprzedzić obejrzeniem filmu. Wydaje się jednak, że powinno być odwrotnie, to książka powinna być inspiracją, polem dla wyobraźni, obraz tylko dopełnieniem. Być może kiedyś się odważę, na razie… czekam. ",4
"Obejrzałam cały serial, dopiero po ochłonięciu i przeczytaniu miliona spojlerów sięgnęłam po sagę. Czyta się świetnie, narracja jest wartka, choć nadmiar imion, nazwisk, rodów, miejsc od początku przytłacza, potem jest jeszcze gorzej. Świat stworzony z rozmachem, choć bez staranności na przykład w porównaniu z uniwersum Tolkiena. Postaci żywe, niejednoznaczne, prawdzie . Dziwi mnie jedynie powielany w kilku opracowaniach błąd, że powieść ma wielu narratorów. Narrator jest jeden, trzecioosobowy, ale nie wszechwiedzący - jego wiedza ograniczona jest tylko do postaci, od której tytuł nosi rozdział. ",8
"Nie spodziewałam się, że tak mi się spodoba. Miałam dość negatywny obraz „Pieśni lodu i ognia” w mojej głowie. Znałam na pamięć ostatni sezon serialu (bez oglądania; po prostu kocham analizę, którą zrobiła Megu na swoim kanale). Zakochałam się. Na początku byłam trochę zagubiona w poszczególnych rodach, powiązaniach i powinowactwach (z wyboru (hehe) lub nie), miejscach i retrospekcjach, ale muszę powiedzieć, że Martin jest geniuszem. Widać, że wszystko jest przemyślane od początku do końca (choć tu właściwie nie mamy pewności, skoro nadal nie pisze kontynuacji serii). Poczułam, że jestem wciągnięta w świat i bohaterów. Wielka polityka, intrygi, morderstwa i bitwy przeplatane osobistymi dramatami, małymi wojenkami i konfliktami rodzinnymi to jest to, co lubię najbardziej. W „Grze o tron” jest coś specyficznego, co sprawia, że nie ma tutaj patosu. Całkowicie obca dla mnie sytuacja, gdy mam do czynienia z monumentalną serią high fantasy. Może to za sprawą realizmu języka (a spodziewałam się naturalizmu, o tym za chwilę), przechodzenia do porządku dziennego nad tym, jaki człowiek może być i co jest w stanie zrobić innemu (wow, to ja wpadłam w większy patos). Coś, na co wszyscy czekali: „– Podejrzewam, że chodzi o seks – ocenił dyrektor Elektrowni Bełchatów”. Ma pan rację, panie dyrektorze. Spodziewałam się czegoś złego. O dziwo, całkiem się myliłam. Jak dobrze. Jest z lekka naturalistycznie i momentami dosadnie, ale to idealne wyważenie. W porównaniu z tym, co zaserwowała Cherezińska w „Koronie śniegu i krwi” (zatrzymałam się przed połową, nie dałam rady), Martin byłby genialnym autorem erotyków. Bardzo, bardzo, bardzo chciałabym czytać dalej, ale za wiele rzeczy muszę skończyć (a nie byłam w stanie się na nich skupić przez myślenie o tym, co dzieje się w Siedmiu Królestwach). Ostatnia rzecz. Polskie słuchowisko jest cudowne. Dziękuję. (W ocenie zostawiam sobie margines na to, że któryś kolejny tom może być jeszcze lepszy. A poprzeczka już jest wysoko). ",9
"Dawno żadna powieść mnie tak nie wkurzyła. Przy mało której również tak bardzo żałowałam swojej zasady, że nie odkładam i nie oceniam książek, dopóki ich nie skończę, jak przy tej. Bo ma swoją słuszną grubość.  Choć nie należę do bezkrytycznych fanek Sapkowskiego i Wiedźmina, nabrałam ochoty na przeczytanie czegoś w podobnym klimacie, czyli świat stylizowany na średniowiecze, karczmy, zamki, rycerze, królowie, miecze, smoki, magia itd. Sięgnęłam więc po osławioną ""Grę o tron"", osławioną głównie przez to, że na jej podstawie powstał serial. I powiem szczerze, że pan George R.R. Martin może Sapkowskiemu buty czyścić.  Po pierwsze i co najbardziej mnie zdziwiło (serialu nie widziałam): praktycznie nie ma tu elementów fantasy! Jest jakiś fikcyjny świat, w którym zima i lato trwają dłużej niż w naszym i to wszystko. Smoki są legendami tak jak w naszym, pojawia się tylko motyw smoczych jaj, które noszą kobiety. Magii - brak, raz tylko nieśmiało jest wspomniane, że któryś ze złych jest czarnoksiężnikiem. Jakieś 98% tej powieści to typowo średniowieczna polityczna intryga, tytułowa gra o tron, i gdyby powstał na jej podstawie film, zostałby nazwany nie filmem fantasy, tylko kostiumowym. Słyszałam, że pod tym względem Martin rozkręca się w kolejnych częściach, ale nie zmienia to faktu, że w tej książce jest za mało fantasy w fantasy. U Sapkowskiego, szczególnie w opowiadaniach, mamy mniej polityki, a więcej magii, stworów, fantastycznych stworzeń, sam Wiedźmin jest przecież jednym z nich. Mamy czarodziejów, mamy klątwy, mamy smoki itd. Tu plus przy nazwisku Polaka.  Po drugie: język. Sapkowski pisał piękną, sienkiewiczowską polszczyzną, miał dopieszczone, stylizowane na starodawne dialogi. U Martina tego nie ma, nie ma nic ekstra pod tym względem. Jest nasz normalny, codzienny język. Możliwe, że to kwestia tłumaczenia, ale to nic nie zmienia. Kolejny plus przy Sapkowskim.  Po trzecie: dialogi. Martin pisze długo, każe fanom czekać na kolejne części cyklu, bo rzekomo tak bardzo dopieszcza każdą scenę. Zastanawia mnie, co tak dopieszcza, skoro rozmowy między bohaterami są zwyczajnie nudne i w większości pozbawione chwytliwych kwestii. W ""Wiedźminie"" jest pod tym względem o wiele lepiej, jest soczyście, jest krwiście, czasem jest też humor, czyta się te dialogi z ciekawością. Kolejny plus przy Sapkowskim.  Po czwarte: mnogość postaci i skomplikowanie świata. W ""Grze o tron"" mamy ich całe mnóstwo i łatwo możemy się pogubić w tych wszystkich rodach i ich historiach, kto z kim ma jakie porachunki, kto za kogo wyszedł lub ożenił się w przeszłości, kto kogo lubi i nie lubi i dlaczego. Szczególnie że, jak wspominałam, ten świat jest na razie mało fantastyczny, więc owe historie nie dają nam żadnego punktu zaczepienia, by szczególnie zapaść w pamięć. Kiedyś przeczytałam coś takiego, że w hard fantasy połowa sukcesu to nietypowe nazwy geograficzne i imiona. O wiele lepiej brzmi Sansa z Winterfell niż Grażyna z Pcimia, chociaż ich historie mogą być identyczne.  Po piąte: tempo historii. Jest identyczne na końcu książki tak jak na początku. Niektóre sceny sprawiają wrażenie, że nic nie wnoszą do głównej historii, są, bo są (na przykład czemu miał służyć wątek oskarżenia Tyriona o próbę zabójstwa Branna? Co z niego wynikło? Jak zmieniła się sytuacja w historii po domknięciu tego wątku?). Strasznie takich powieści nie lubię, bo nie wciągają, toczą się jednostajnie, nie jest się zbytnio ciekawym, co będzie dalej, nie ma cliffhangerów, nie ma pytań, nie ma zagadek. Owszem, są epickie, mają rozmach, ale to rozmach świata, a nie opowieści. Historia na końcu tomu zostaje urwana w jakimś losowym momencie, nie ma w niej nawet punktu kulminacyjnego, nie ma wyraźnego wstępu, rozwinięcia i zakończenia. U Sapkowskiego w cyklu powieściowym o Wiedźminie było podobnie (co również skrytykowałam), ale w opowiadaniach dał radę. Kolejny plus przy nim.  Podsumowując: jeżeli to jest współczesny klasyk fantasy, to my, jako Polacy, naprawdę nie mamy się czego wstydzić, bo nasz klasyk jest lepszy pod każdym względem. Co oczywiście nie znaczy, że jest doskonały. ""Gra o tron"" mimo to zbiera bardzo wysokie oceny, więc pewnie to ze mną jest coś nie tak. Może taki rodzaj prozy nie jest dla mnie. Po następne części raczej nie sięgnę. ",unknown
"Nie dziwię się wszystkim pochlebnym opiniom zarówno na temat tej książki, jak i serialu HBO, który zdobył serca milionów widzów na całym świecie. Pióro pana Martina jest niezwykle bogate i barwne. Początkowo trudno jest się odnaleźć wśród mnogości różnych rodów, ich historii, szczegółów bitew i przede wszystkim spisków i podstępów. Z pewnością pewnego dnia zakupię całą serię, bo jestem oczarowana. ",9
